fecha,home,away,gol_home,gol_away
2024-08-17T17:00:00+00:00,Reims,Lille,0,2
2024-08-24T17:00:00+00:00,Lille,Angers,2,0
2024-09-01T18:45:00+00:00,Lille,Paris Saint Germain,1,3
2024-09-13T18:45:00+00:00,Saint Etienne,Lille,1,0
2024-09-21T15:00:00+00:00,Lille,Strasbourg,3,3
2024-09-28T17:00:00+00:00,Le Havre,Lille,0,3
2024-10-05T17:00:00+00:00,Lille,Toulouse,2,1
2024-10-18T18:45:00+00:00,Monaco,Lille,0,0
2024-10-26T19:00:00+00:00,Lens,Lille,0,2
2024-11-01T20:00:00+00:00,Lille,Lyon,1,1
2024-11-10T14:00:00+00:00,Nice,Lille,2,2
2024-11-24T14:00:00+00:00,Lille,Rennes,1,0
2024-12-01T14:00:00+00:00,Montpellier,Lille,2,2
2024-12-06T18:00:00+00:00,Lille,Stade Brestois 29,3,1
2024-12-14T16:00:00+00:00,Marseille,Lille,1,1
2025-01-04T18:00:00+00:00,Lille,Nantes,1,1
2025-01-10T20:05:00+00:00,Auxerre,Lille,0,0
2025-01-17T20:05:00+00:00,Lille,Nice,2,1
2025-01-25T18:00:00+00:00,Strasbourg,Lille,2,1
2025-02-01T20:05:00+00:00,Lille,Saint Etienne,4,1
2025-02-08T18:00:00+00:00,Lille,Le Havre,1,2
2025-02-16T19:45:00+00:00,Rennes,Lille,0,2
2025-02-22T16:00:00+00:00,Lille,Monaco,2,1
2025-03-01T20:05:00+00:00,Paris Saint Germain,Lille,4,1
2025-03-08T18:00:00+00:00,Lille,Montpellier,1,0
2025-03-15T16:00:00+00:00,Nantes,Lille,1,0
2025-03-30T18:45:00+00:00,Lille,Lens,1,0
2025-04-05T19:05:00+00:00,Lyon,Lille,2,1
2025-04-12T17:00:00+00:00,Toulouse,Lille,1,2
2025-04-20T13:00:00+00:00,Lille,Auxerre,3,1
2025-04-27T13:00:00+00:00,Angers,Lille,0,2
2025-05-04T18:45:00+00:00,Lille,Marseille,1,1
2025-05-10T19:00:00+00:00,Stade Brestois 29,Lille,2,0
2025-05-17T19:00:00+00:00,Lille,Reims,2,1
